,oid,ent,sectionId,EP_1,EP_2
212,1,5,5157,5157,5157
213,1,6,5152,5152,5152
214,1,7,5155,5155,5155
215,1,8,5158,5158,5158
216,1,9,5153,5153,5153
217,1,1,4451,4451,4451
218,1,2,4447,4447,4447
219,1,3,4450,4450,4450
220,1,4,4453,4453,4453
221,1,5,4448,4448,4448
222,1,6,4451,4451,4451
223,1,7,4454,4454,4454
224,1,8,4449,4449,4449
225,1,9,3646,3646,3646
226,1,1,3642,3642,3642
227,1,2,3645,3645,3645
228,1,3,3648,3648,3648
229,1,4,3643,3643,3643
230,1,5,3646,3646,3646
231,1,6,3649,3649,3649
232,1,7,3644,3644,3644
233,1,8,2738,2738,2738
234,1,9,2734,2734,2734
235,1,1,2737,2737,2737
236,1,2,2740,2740,2740
237,1,3,2735,2735,2735
238,1,4,2738,2738,2738
239,1,5,2741,2741,2741
240,1,6,2736,2736,2736
241,1,7,1731,1731,1731
242,1,8,1727,1727,1727
243,1,9,1730,1730,1730
244,1,1,1733,1733,1733
245,1,2,1728,1728,1728
246,1,3,1731,1731,1731
247,1,4,1734,1734,1734
248,1,5,1729,1729,1729
249,1,6,823,823,823
250,1,7,819,819,819
251,1,8,822,822,822
252,1,9,825,825,825
253,1,1,820,820,820
254,1,2,823,823,823
255,1,3,826,826,826
256,1,4,821,821,821
257,1,5,316,316,316
258,1,6,312,312,312
259,1,7,315,315,315
260,1,8,318,318,318
261,1,9,313,313,313
262,1,1,316,316,316
263,1,2,319,319,319
264,1,3,314,314,314
265,1,4,10,10,10
266,1,5,6,6,6
267,1,6,9,12,9
268,1,7,12,12,12
269,1,8,7,7,7
270,1,9,10,10,10
271,1,1,13,13,13
272,1,2,8,14,8
273,1,3,205,205,205
274,1,4,201,201,201
275,1,5,204,204,204
276,1,6,207,207,207
277,1,7,202,202,202
278,1,8,205,205,205
279,1,9,208,208,208
280,1,1,203,203,203
281,1,2,603,603,603
282,1,3,599,599,599
283,1,4,602,602,602
284,1,5,605,605,605
285,1,6,600,600,600
286,1,7,603,603,603
287,1,8,606,606,606
288,1,9,601,601,601
289,1,1,1101,1101,1101
290,1,2,1097,1097,1097
291,1,3,1100,1100,1100
292,1,4,1103,1103,1103
293,1,5,1098,1098,1098
294,1,6,1101,1101,1101
295,1,7,1104,1104,1104
296,1,8,1099,1099,1099
297,1,9,1800,1800,1800
298,1,1,1796,1796,1796
299,1,2,1799,1799,1799
300,1,3,1802,1802,1802
301,1,4,1797,1797,1797
302,1,5,1800,1800,1800
303,1,6,1803,1803,1803
304,1,7,1798,1798,1798
305,1,8,2501,2501,2501
306,1,9,2497,2497,2497
307,1,1,2500,2500,2500
308,1,2,2503,2503,2503
309,1,3,2498,2498,2498
310,1,4,2501,2501,2501
311,1,5,2504,2504,2504
312,1,6,2499,2499,2499
313,1,7,3302,3302,3302
314,1,8,3298,3298,3298
315,1,9,3301,3301,3301
316,1,1,3304,3304,3304
317,1,2,3299,3299,3299
318,1,3,3302,3302,3302
319,1,4,3305,3305,3305
320,1,5,3300,3300,3300
321,1,6,4206,4206,4206
322,1,7,4202,4202,4202
323,1,8,4205,4205,4205
324,1,9,4208,4208,4208
325,1,1,4203,4203,4203
326,1,2,4206,4206,4206
327,1,3,4209,4209,4209
328,1,4,4204,4204,4204
329,1,5,5211,5211,5211
330,1,6,5207,5207,5207
331,1,7,5210,5210,5210
332,1,8,5213,5213,5213
333,1,9,5208,5208,5208
334,1,1,5211,5211,5211
335,1,2,5214,5214,5214
336,1,3,5209,5209,5209
337,1,4,6318,6318,6318
338,1,5,6314,6314,6314
339,1,6,6317,6317,6317
340,1,7,6320,6320,6320
341,1,8,6315,6315,6315
342,1,9,6318,6318,6318
343,1,1,6321,6321,6321
344,1,2,6316,6316,6316
345,1,3,7425,7425,7425
346,1,4,7421,7421,7421
347,1,5,7424,7424,7424
348,1,6,7427,7427,7427
349,1,7,7422,7422,7422
350,1,8,7425,7425,7425
351,1,9,7428,7428,7428
