,oid,ent,sectionId,EP_1,EP_2
1,1,1,8835,8835,8835
2,1,2,8831,8831,8831
3,1,3,8834,8834,8834
4,1,4,8837,8835,8834
5,1,5,8832,8836,8832
6,1,6,8835,8835,8835
7,1,7,8838,8838,8838
8,1,8,8833,8833,8833
9,1,9,9235,9235,9235
10,1,1,9231,9231,9231
11,1,2,9234,9234,9234
12,1,3,9237,9237,9237
13,1,4,9232,9232,9232
14,1,5,9235,9235,9235
15,1,6,9238,9238,9238
16,1,7,9233,9233,9233
17,1,8,9335,9335,9335
18,1,9,9331,9331,9331
19,1,1,9334,9334,9334
20,1,2,9337,9337,9337
21,1,3,9332,9332,9332
22,1,4,9335,9335,9337
23,1,5,9338,9338,9338
24,1,6,9333,9333,9333
25,1,7,9535,9535,9535
26,1,8,9531,9531,9531
27,1,9,9534,9534,9534
28,1,1,9537,9537,9537
29,1,2,9532,9532,9532
30,1,3,9535,9535,9535
31,1,4,9538,9538,9538
32,1,5,9533,9533,9533
33,1,6,9635,9657,9635
34,1,7,9631,9631,9631
35,1,8,9634,9634,9634
36,1,9,9637,9637,9637
37,1,1,9632,9632,9632
38,1,2,9635,9635,9635
39,1,3,9638,9638,9638
40,1,4,9633,9633,9633
41,1,5,9735,9735,9735
42,1,6,9731,9731,9731
43,1,7,9734,9734,9734
44,1,8,9737,9737,9737
45,1,9,9732,9732,9732
46,1,1,9735,9735,9735
47,1,2,9738,9738,9738
48,1,3,9733,9733,9733
49,1,4,9835,9835,9835
50,1,5,9831,9831,9831
51,1,6,9834,9834,9836
52,1,7,9837,9837,9837
53,1,8,9832,9832,9832
54,1,9,9835,9835,9835
55,1,1,9838,9838,9838
56,1,2,9833,9833,9833
57,1,3,9935,9935,9935
58,1,4,9931,9931,9931
59,1,5,9934,9934,9934
60,1,6,9937,9937,9937
61,1,7,9932,9932,9932
62,1,8,9935,9935,9935
63,1,9,9938,9936,9938
64,1,1,9933,9937,9933
65,1,2,9935,9935,9935
66,1,3,9931,9931,9931
67,1,4,9934,9934,9934
68,1,5,9937,9937,9937
69,1,6,9932,9932,9932
70,1,7,9935,9935,9935
71,1,8,9938,9938,9938
72,1,9,9933,9933,9933
73,1,1,9935,9935,9935
74,1,2,9931,9931,9931
75,1,3,9934,9934,9934
76,1,4,9937,9937,9937
77,1,5,9932,9932,9932
78,1,6,9935,9935,9935
79,1,7,9938,9938,9938
80,1,8,9933,9933,9933
81,1,9,9835,9835,9835
82,1,1,9831,9831,9831
83,1,2,9834,9834,9834
84,1,3,9837,9837,9837
85,1,4,9832,9832,9832
86,1,5,9835,9835,9833
87,1,6,9838,9838,9834
88,1,7,9833,9833,9835
89,1,8,9734,9734,9836
90,1,9,9730,9730,9730
91,1,1,9733,9733,9733
92,1,2,9736,9736,9736
93,1,3,9731,9731,9731
94,1,4,9734,9734,9734
95,1,5,9737,9737,9737
96,1,6,9732,9732,9732
97,1,7,9434,9434,9431
