,oid,ent,sectionId,EP_1,EP_2
1,1,1,828,828,828
2,1,2,824,824,824
3,1,3,827,827,827
4,1,4,830,830,830
5,1,5,825,825,825
6,1,6,828,828,828
7,1,7,831,831,831
8,1,8,826,826,826
9,1,9,430,430,430
10,1,1,426,426,426
11,1,2,429,429,429
12,1,3,432,432,432
13,1,4,427,427,427
14,1,5,430,430,430
15,1,6,433,433,433
16,1,7,428,428,428
17,1,8,530,530,530
18,1,9,526,526,526
19,1,1,529,529,529
20,1,2,532,534,532
21,1,3,527,527,527
22,1,4,530,530,530
23,1,5,533,533,533
24,1,6,528,528,528
25,1,7,730,730,730
26,1,8,726,726,726
27,1,9,729,729,729
28,1,1,732,732,732
29,1,2,727,727,727
30,1,3,730,730,730
31,1,4,733,733,733
32,1,5,728,728,728
33,1,6,930,930,930
34,1,7,926,928,926
35,1,8,929,929,929
36,1,9,932,932,932
37,1,1,927,927,927
38,1,2,930,930,930
39,1,3,933,933,933
40,1,4,928,928,928
41,1,5,1330,1330,1330
42,1,6,1326,1326,1326
43,1,7,1329,1329,1329
44,1,8,1332,1332,1332
45,1,9,1327,1327,1327
46,1,1,1330,1330,1330
47,1,2,1333,1333,1333
48,1,3,1328,1328,1328
49,1,4,1831,1831,1831
50,1,5,1827,1824,1827
51,1,6,1830,1830,1830
52,1,7,1833,1833,1833
53,1,8,1828,1828,1828
54,1,9,1831,1831,1831
55,1,1,1834,1834,1834
56,1,2,1829,1829,1829
57,1,3,2430,2430,2430
58,1,4,2426,2426,2426
59,1,5,2429,2429,2429
60,1,6,2432,2432,2432
61,1,7,2427,2428,2427
62,1,8,2430,2430,2430
63,1,9,2433,2433,2433
64,1,1,2428,2428,2428
65,1,2,3229,3229,3229
66,1,3,3225,3225,3225
67,1,4,3228,3228,3228
68,1,5,3231,3229,3231
69,1,6,3226,3226,3226
70,1,7,3229,3229,3229
71,1,8,3232,3232,3232
72,1,9,3227,3227,3227
73,1,1,4127,4127,4127
74,1,2,4123,4123,4123
75,1,3,4126,4126,4126
76,1,4,4129,4129,4129
77,1,5,4124,4124,4124
78,1,6,4127,4127,4127
79,1,7,4130,4132,4130
80,1,8,4125,4125,4125
81,1,9,4924,4924,4924
82,1,1,4920,4920,4920
83,1,2,4923,4923,4923
84,1,3,4926,4926,4926
85,1,4,4921,4921,4921
86,1,5,4924,4924,4924
87,1,6,4927,4927,4927
88,1,7,4922,4922,4922
89,1,8,5621,5621,5621
90,1,9,5617,5617,5617
91,1,1,5620,5620,5620
92,1,2,5623,5623,5623
93,1,3,5618,5618,5618
94,1,4,5621,5621,5621
95,1,5,5624,5624,5624
96,1,6,5619,5619,5619
97,1,7,6218,6218,6218
98,1,8,6214,6214,6214
99,1,9,6217,6217,6217
100,1,1,6220,6220,6220
101,1,2,6215,6215,6215
102,1,3,6218,6300,6218
103,1,4,6221,6221,6221
104,1,5,6216,6216,6216
105,1,6,6717,6717,6717
106,1,7,6713,6718,6713
107,1,8,6716,6719,6716
108,1,9,6719,6719,6719
109,1,1,6714,6714,6714
110,1,2,6717,6715,6717
111,1,3,6720,6720,6720
112,1,4,6715,6715,6715
113,1,5,6816,6816,6816
114,1,6,6812,6812,6812
115,1,7,6815,6815,6815
116,1,8,6818,6818,6818
117,1,9,6813,6813,6813
118,1,1,6816,6816,6816
119,1,2,6819,6819,6819
120,1,3,6814,6814,6814
121,1,4,6816,6816,6816
122,1,5,6812,6812,6812
123,1,6,6815,6815,6815
124,1,7,6818,6818,6818
125,1,8,6813,6813,6813
126,1,9,6816,6816,6816
127,1,1,6819,6819,6819
128,1,2,6814,6814,6814
129,1,3,6716,6716,6716
130,1,4,6712,6712,6712
131,1,5,6715,6715,6715
132,1,6,6718,6718,6718
133,1,7,6713,6713,6713
134,1,8,6716,6716,6716
135,1,9,6719,6719,6719
136,1,1,6714,6714,6714
137,1,2,6418,6418,6418
138,1,3,6414,6414,6414
139,1,4,6417,6417,6417
140,1,5,6420,6420,6420
141,1,6,6415,6415,6415
142,1,7,6418,6418,6418
143,1,8,6421,6421,6421
144,1,9,6416,6416,6416
145,1,1,5820,5820,5820
146,1,2,5816,5816,5816
147,1,3,5819,5819,5819
148,1,4,5822,5822,5822
149,1,5,5817,5817,5817
150,1,6,5820,5820,5820
151,1,7,5823,5823,5823
152,1,8,5818,5818,5818
153,1,9,5023,5023,5023
154,1,1,5019,5019,5019
155,1,2,5022,5022,5022
156,1,3,5025,5025,5025
157,1,4,5020,5020,5020
158,1,5,5023,5023,5023
159,1,6,5026,5026,5026
160,1,7,5021,5021,5021
161,1,8,4126,4128,4126
162,1,9,4122,4122,4122
163,1,1,4125,4125,4125
164,1,2,4128,4128,4128
165,1,3,4123,4125,4123
166,1,4,4126,4126,4126
167,1,5,4129,4129,4129
168,1,6,4124,4124,4124
169,1,7,3230,3230,3230
170,1,8,3226,3226,3226
171,1,9,3229,3229,3229
172,1,1,3232,3232,3232
173,1,2,3227,3227,3227
174,1,3,3230,3230,3230
175,1,4,3233,3233,3233
176,1,5,3228,3228,3228
177,1,6,2235,2235,2235
178,1,7,2231,2231,2231
179,1,8,2234,2234,2234
180,1,9,2237,2237,2237
181,1,1,2232,2232,2232
182,1,2,2235,2235,2235
183,1,3,2238,2238,2238
184,1,4,2233,2233,2233
185,1,5,1541,1541,1541
186,1,6,1537,1537,1537
187,1,7,1540,1540,1540
188,1,8,1543,1543,1543
189,1,9,1538,1538,1538
190,1,1,1541,1541,1541
191,1,2,1544,1544,1544
192,1,3,1539,1539,1539
193,1,4,1046,1046,1046
194,1,5,1042,1042,1042
195,1,6,1045,1045,1045
196,1,7,1048,1048,1048
197,1,8,1043,1043,1043
198,1,9,1046,1046,1046
199,1,1,1049,1049,1049
200,1,2,1044,1044,1044
201,1,3,552,552,552
202,1,4,548,548,548
203,1,5,551,551,551
204,1,6,554,554,554
205,1,7,549,549,549
206,1,8,552,552,552
207,1,9,555,555,555
208,1,1,550,550,550
209,1,2,356,356,356
210,1,3,352,352,352
211,1,4,355,355,355
212,1,5,358,358,358
213,1,6,353,359,353
214,1,7,356,356,356
215,1,8,359,359,359
216,1,9,354,354,354
217,1,1,258,258,258
218,1,2,254,254,254
219,1,3,257,257,257
220,1,4,260,260,260
221,1,5,255,255,255
222,1,6,258,258,258
223,1,7,261,261,261
224,1,8,256,256,256
225,1,9,259,259,259
226,1,1,255,255,255
227,1,2,258,258,258
228,1,3,261,261,261
229,1,4,256,256,256
230,1,5,259,259,259
231,1,6,262,262,262
232,1,7,257,257,257
233,1,8,258,258,258
234,1,9,254,254,254
235,1,1,257,257,257
236,1,2,260,260,260
237,1,3,255,255,255
238,1,4,258,258,258
239,1,5,261,261,261
240,1,6,256,256,256
241,1,7,457,457,457
242,1,8,453,453,453
243,1,9,456,456,456
244,1,1,459,459,459
245,1,2,454,454,454
246,1,3,457,457,457
247,1,4,460,460,460
248,1,5,455,455,455
249,1,6,654,654,654
250,1,7,650,650,650
251,1,8,653,653,653
252,1,9,656,656,656
253,1,1,651,651,651
254,1,2,654,654,654
255,1,3,657,657,657
256,1,4,652,652,652
257,1,5,949,949,949
258,1,6,945,945,945
259,1,7,948,948,948
260,1,8,951,951,951
261,1,9,946,946,946
262,1,1,949,949,949
263,1,2,952,952,952
264,1,3,947,947,947
265,1,4,1243,1243,1243
266,1,5,1239,1239,1239
267,1,6,1242,1242,1242
268,1,7,1245,1245,1245
269,1,8,1240,1240,1240
270,1,9,1243,1243,1243
271,1,1,1246,1246,1246
272,1,2,1241,1241,1241
273,1,3,1537,1537,1537
274,1,4,1533,1533,1533
275,1,5,1536,1536,1536
276,1,6,1539,1539,1539
277,1,7,1534,1534,1534
278,1,8,1537,1537,1537
279,1,9,1540,1540,1540
280,1,1,1535,1535,1535
281,1,2,1731,1731,1731
282,1,3,1727,1727,1727
283,1,4,1730,1730,1730
284,1,5,1733,1733,1733
285,1,6,1728,1728,1728
286,1,7,1731,1729,1731
287,1,8,1734,1734,1734
288,1,9,1729,1729,1729
289,1,1,1625,1625,1625
290,1,2,1621,1621,1621
291,1,3,1624,1624,1624
292,1,4,1627,1627,1627
293,1,5,1622,1622,1622
294,1,6,1625,1625,1625
295,1,7,1628,1628,1628
296,1,8,1623,1623,1623
297,1,9,1419,1419,1419
298,1,1,1415,1415,1415
299,1,2,1418,1418,1418
300,1,3,1421,1421,1421
301,1,4,1416,1416,1416
302,1,5,1419,1419,1419
303,1,6,1422,1422,1422
304,1,7,1417,1417,1417
305,1,8,1114,1114,1114
306,1,9,1110,1110,1110
307,1,1,1113,1113,1113
308,1,2,1116,1116,1116
309,1,3,1111,1111,1111
310,1,4,1114,1114,1114
311,1,5,1117,1117,1117
312,1,6,1112,1112,1112
313,1,7,709,709,709
314,1,8,705,705,705
315,1,9,708,708,708
316,1,1,711,711,711
317,1,2,706,706,706
318,1,3,709,709,709
319,1,4,712,712,712
320,1,5,707,707,707
321,1,6,405,405,405
322,1,7,401,401,401
323,1,8,404,404,404
324,1,9,407,407,407
325,1,1,402,402,402
326,1,2,405,405,405
327,1,3,408,408,408
328,1,4,403,403,403
329,1,5,101,101,101
330,1,6,97,97,97
331,1,7,100,100,100
332,1,8,103,103,103
333,1,9,98,98,98
334,1,1,101,101,101
335,1,2,104,104,104
336,1,3,99,99,99
337,1,4,1,1,1
338,1,5,0,0,0
339,1,6,3,3,3
340,1,7,1,1,1
341,1,8,4,4,4
342,1,9,2,2,2
343,1,1,5,5,5
344,1,2,1,1,8
345,1,3,1,1,1
346,1,4,0,0,7
347,1,5,3,3,3
348,1,6,1,1,1
349,1,7,4,6,4
350,1,8,2,2,2
351,1,9,5,5,5
352,1,1,1,1,7
353,1,2,101,101,101
354,1,3,97,97,97
355,1,4,100,100,100
356,1,5,103,103,103
357,1,6,98,98,98
358,1,7,101,101,101
359,1,8,104,104,104
360,1,9,99,99,99
361,1,1,405,405,405
362,1,2,401,401,401
363,1,3,404,404,404
364,1,4,407,407,407
365,1,5,402,402,402
366,1,6,405,405,405
367,1,7,408,408,408
368,1,8,403,403,403
369,1,9,1010,1010,1010
370,1,1,1006,1006,1006
371,1,2,1009,1009,1009
372,1,3,1012,1012,1012
373,1,4,1007,1007,1007
374,1,5,1010,1010,1008
375,1,6,1013,1013,1013
376,1,7,1008,1008,1008
377,1,8,1818,1818,1818
378,1,9,1814,1814,1814
379,1,1,1817,1817,1817
380,1,2,1820,1820,1820
381,1,3,1815,1815,1815
382,1,4,1818,1818,1818
383,1,5,1821,1821,1821
384,1,6,1816,1816,1816
385,1,7,2827,2827,2827
386,1,8,2823,2823,2823
387,1,9,2826,2826,2826
388,1,1,2829,2829,2829
389,1,2,2824,2824,2824
390,1,3,2827,2827,2827
391,1,4,2830,2830,2830
392,1,5,2825,2825,2825
393,1,6,3937,3937,3937
394,1,7,3933,3933,3933
395,1,8,3936,3936,3936
396,1,9,3939,3939,3939
397,1,1,3934,3934,3934
398,1,2,3937,3937,3937
399,1,3,3940,3940,3940
400,1,4,3935,3935,3935
401,1,5,5148,5148,5148
402,1,6,5144,5144,5144
403,1,7,5147,5147,5147
404,1,8,5150,5150,5150
405,1,9,5145,5145,5145
406,1,1,5148,5148,5148
407,1,2,5151,5151,5151
408,1,3,5146,5146,5146
409,1,4,6059,6059,6059
410,1,5,6055,6055,6055
411,1,6,6058,6058,6058
412,1,7,6061,6061,6061
413,1,8,6056,6056,6056
414,1,9,6059,6059,6059
415,1,1,6062,6062,6062
416,1,2,6057,6057,6057
417,1,3,6867,6867,6867
418,1,4,6863,6863,6863
419,1,5,6866,6866,6866
420,1,6,6869,6869,6869
421,1,7,6864,6864,6864
422,1,8,6867,6867,6867
423,1,9,6870,6870,6870
424,1,1,6865,6865,6865
425,1,2,7474,7474,7474
426,1,3,7470,7470,7470
427,1,4,7473,7473,7473
428,1,5,7476,7476,7476
429,1,6,7471,7471,7471
430,1,7,7474,7474,7474
431,1,8,7477,7477,7477
432,1,9,7472,7472,7472
433,1,1,7978,7978,7978
434,1,2,7974,7974,7974
435,1,3,7977,7977,7977
436,1,4,7980,7980,7980
437,1,5,7975,7975,7975
438,1,6,7978,7978,7978
439,1,7,7981,7981,7981
440,1,8,7976,7976,7976
441,1,9,8079,8079,8079
442,1,1,8075,8075,8075
443,1,2,8078,8078,8078
444,1,3,8081,8081,8081
445,1,4,8076,8076,8076
446,1,5,8079,8079,8079
447,1,6,8082,8082,8082
448,1,7,8077,8077,8077
449,1,8,8179,8179,8179
450,1,9,8175,8175,8175
451,1,1,8178,8178,8178
452,1,2,8181,8181,8181
453,1,3,8176,8176,8176
454,1,4,8179,8179,8179
455,1,5,8182,8182,8182
456,1,6,8177,8177,8177
457,1,7,8178,8178,8178
458,1,8,8174,8174,8174
459,1,9,8177,8177,8177
460,1,1,8180,8180,8180
461,1,2,8175,8175,8175
462,1,3,8178,8178,8178
